PN,SN,Equipment,Material Description,ATA,Contract,Order/PO,Supplier,D8 Removal Notification,D8 Removal Date,D8 Code,U/S TER,Mn.wk.ctr,Profit Ctr,A/C,Fleet,Operator,Orig Order,Orig Order Type,Orig Desc,Notif Orig,Notif Orig Type,Desc.,Doc Type,Document,DPt,Vr,Document Description,"TSN
(FH)","TSI
(FH)","SHRTRNR
TSI","CSN
(Cyc)","CSI
(Cyc)","SHRTRNR
CSI",TSC (FH),"SHRTRNR
TSC","CSC
(Cyc)",Order2,Order Type,Description,Po No,Batch Out,PO in After Out,Vendor in after out,W4 in After Out,Notif Shop,Notif Shop Type,Repair Station,PO Cost,Remark,Exclude,Vendor,PN,SN,Reason of Removal,Category Finding,Shop Finding,User Status,Total Cost Actual
2758,D02921,12258061,AIRCRAFT BATTERY,,,588422,WSUB,13575675,42905,TX,S,GAH210ZZ,GMFTL,PK-GQP,A320-200,Citilink,801698949,GA01,REMOVE BATTERY FOR OVERHAUL,13434603,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,2733.99,336.11,,2075,253,,,,,594159,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,594159,,,,,13589470,W1,,,"25 30 ,50",,WSAV,2758,D02921,REMOVE BATTERY FOR OVERHAUL,CELLS  FAIL,INSULATION RESISTANCE ( DEFECTIVE),RRC,242.5
2758,A04134,12039924,AIRCRAFT BATTERY,,,583139,WSEM,13588741,42909,WR,S,CGK1T1ZZ,GMFTL,PK-GQI,A320-200,Citilink,801709060,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13248957,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,10839.15,813.94,,9197,640,,,,,594947,GA05,24-38-51 AIRCRAFT BATTERY,594947,,,,,13602873,W1,,,"25 30 ,50",,WSAV,2758,A04134,REMOVE BATTERY FOR CHECK IN WORKSHOP,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,285.3
2758,201607077,12303189,AIRCRAFT BATTERY,,,,,13594193,42911,WR,S,W704,GMFTCA,PK-GTC,A320-200,Citilink,594882,GA05,24-38-51 AIRCRAFT BATTERY,13315104,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,811.79,811.79,,546,546,,,,,594882,GA05,24-38-51 AIRCRAFT BATTERY,594882,,,,,13600459,W1,,," 30 ,50",,WSAV,2758,201607077,"RST, REMOVE BATTERY FOR CHECK IN WORKSHOP",DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,641.95
2758,201607076,12303188,AIRCRAFT BATTERY,,,,,13594196,42911,WR,S,W704,GMFTCA,PK-GTC,A320-200,Citilink,594891,GA05,24-38-51 AIRCRAFT BATTERY,13315100,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,811.79,811.79,,546,546,,,,,594891,GA05,24-38-51 AIRCRAFT BATTERY,594891,,,,,13600218,W1,,," 30 ,50",,WSAV,2758,201607076,"RST, REMOVE BATTERY FOR CHECK IN WORKSHOP",DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,442.3
2758,201602725,12286954,AIRCRAFT BATTERY,,,585704,WSEM,13627227,42926,TX,S,GAH210ZZ,GMFTL,PK-GLC,A320-200,Citilink,TLC170400D1,GATL,PK-GLC REPLACEMENT BATT 2758,,,,,,,,,1496.88,301.07,,1220,254,,,,,596200,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,596200,,,,,13634384,W1,,,"25 30 ,50",,WSAV,2758,201602725,C R I M I,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,670.5
2758,201603233,12279906,AIRCRAFT BATTERY,,,589597,WSEM,13632593,42929,FO,S,GAH415ZZ,GMFTBU,PK-GLH,A320-200,Citilink,801745677,GA02,DURING OPERATIONAL TEST FOUND BATTERY 2PB2 WEAK,,,,,,,,,2262.58,140.47,,1605,107,,,,,596436,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,596436,,,,,13639437,W1,,,"25 30 ,50",,WSAV,2758,201603233,SHOP CHECK,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,670.5
2758,C07158,12224715,AIRCRAFT BATTERY,,,591828,WSEM,13677802,42938,WR,S,CGK1T1ZZ,GMFTL,PK-GLQ,A320-200,Citilink,801753579,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602554,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,5483.19,335.31,,4245,270,,,,,597407,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597407,,,,,13698554,W1,,,"25 30 ,50",,WSAV,2758,C07158,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,199.7
2758,201606431,12301660,AIRCRAFT BATTERY,,,,,13677873,42938,WR,S,CGK1T1ZZ,GMFTL,PK-GTA,A320-200,Citilink,801747205,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602611,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,1067.36,1067.36,,692,692,,,,,597406,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597406,,,,,13698552,W1,,," 30 ,50",,WSAV,2758,201606431,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,201606244,12301659,AIRCRAFT BATTERY,,,,,13677876,42938,WR,S,CGK1T1ZZ,GMFTL,PK-GTA,A320-200,Citilink,801747204,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602610,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,1067.36,1067.36,,692,692,,,,,597405,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597405,,,,,13698558,W1,,, 30 ,,WSAV,2758,201606244,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,D05405,12256603,AIRCRAFT BATTERY,,,581382,WSEM,13680658,42940,WR,S,CGK1T1ZZ,GMFTL,PK-GLR,A320-200,Citilink,801747352,GA01,REMOVE BATTERY FOR OVERHAUL,13198963,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,3406.37,804.13,,2611,622,,,,,597432,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597432,,,,,13712686,W1,,,25 30 ,,WSAV,2758,D05405,"RST, REMOVE BATTERY FOR OVERHAUL",DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,884.5
2758,X01182,12051017,AIRCRAFT BATTERY,,,588504,WSEM,13686397,42940,WR,S,UPG1T1ZZ,GMFUPG,PK-GLP,A320-200,Citilink,TLP240798D2,GATL,nil,TLP240798D2,D2,nil,,,,,,32658.77,534.3,,10482,442,,,,,597805,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597805,,,,,13718784,W1,,,"25 30 ,50",,WSAV,2758,X01182,VOLTAGE DOWN 9 VOLT,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,841.7
2758,C07129,12224714,AIRCRAFT BATTERY,,,583608,WSEM,13685309,42941,FO,S,GAH415ZZ,GMFTBU,PK-GLD,A320-200,Citilink,801746087,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602527,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,5273.56,547.4,,3976,451,,,,,597577,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597577,,,,,13701841,W1,,,"25 30 ,50",,WSAV,2758,C07129,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,B05562,12183636,AIRCRAFT BATTERY,,,591289,WSEM,13685310,42941,FO,S,GAH415ZZ,GMFTBU,PK-GLD,A320-200,Citilink,801746088,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602528,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,5601.8,138.41,,4560,116,,,,,597575,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597575,,,,,13701796,W1,,,"25 30 ,50",,WSAV,2758,B05562,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,X06639,12037748,AIRCRAFT BATTERY,,,580111,WSEM,13686732,42942,WR,S,CGK1T1ZZ,GMFTL,PK-GLV,A320-200,Citilink,801764718,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602563,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,9086.49,786.28,,7146,670,,,,,597652,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,597652,,,,,13722619,W1,,,"25 30 ,50",,WSAV,2758,X06639,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,884.5
2758,X02742,12097607,AIRCRAFT BATTERY,,,581380,WSEM,13724627,42950,WR,S,CGK1T1ZZ,GMFTF,PK-GLR,A320-200,Citilink,801776437,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602555,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,9297.8,880.16,,5976,683,,,,,598656,GA05,"DIRTY, LOW LEVEL LIQUID",598656,,,,,13752033,W1,,,"25 30 ,50",,WSAV,2758,X02742,CRIMI,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID",RRC,542.1
2758,C03649,12174568,AIRCRAFT BATTERY,,,583049,WSEM,13749298,42955,TX,S,GAH210ZZ,GMFTF,PK-GLA,A320-200,Citilink,801782948,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602523,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,7551.99,647.05,,5012,533,,,,,512000637,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512000637,,,,,13768312,W1,,,"25 30 ,50",,WSAV,2758,C03649,REMOVE BATTERY FOR CHECK IN WORKSHOP,LOW INSULATION,"DIRTY, LOW LEVEL LIQUID AND LOW INSULATION",RRC,709.75
2758,D02916,12258060,AIRCRAFT BATTERY,,,583470,WSEM,13749300,42955,TX,S,GAH210ZZ,GMFTF,PK-GLA,A320-200,Citilink,801782947,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602524,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,3159.4,639.04,,2486,527,,,,,512000636,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512000636,,,,,13765551,W1,,,"25 30 ,50",,WSAV,2758,D02916,REMOVE BATTERY FOR CHECK IN WORKSHOP,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID AND SCHEDULED OVERHAUL",RRC,709.75
2758,D05402,12256600,AIRCRAFT BATTERY,,,581421,WSEM,13757187,42958,WR,S,CGK1T1ZZ,GMFTL,PK-GLH,A320-200,Citilink,801795938,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602535,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,3378.12,684.63,,2713,514,,,,,512000956,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512000956,,,,,13767725,W1,,,"25 30 ,50",,WSAV,2758,D05402,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,201606120,12293849,AIRCRAFT BATTERY,,,581651,WSEM,13757300,42958,WR,S,CGK1T1ZZ,GMFTF,PK-GLV,A320-200,Citilink,801795939,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602564,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,1111.62,807.11,,895,685,,,,,512000955,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512000955,,,,,13770096,W1,,,"25 30 ,50",,WSAV,2758,201606120,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,A04693,12035572,AIRCRAFT BATTERY,,,590025,WSEM,13758905,42958,WR,S,GAH240ZZ,GMFTL,PK-GLG,A320-200,Citilink,801795937,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13602533,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,03,DC GENERATION,10147.36,446.39,,7450,359,,,,,512001014,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512001014,,,,,13773798,W1,,,"25 30 ,50",,WSAV,2758,A04693,CRIMI-PERIODIC TEST,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,B00839,12015144,AIRCRAFT BATTERY,,,584816,WSEM,13760628,42959,WR,S,CGK1T1ZZ,GMFTF,PK-GLF,A320-200,Citilink,801797487,GA01,REMOVE BATTERY FOR OVERHAUL,13302295,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,8603.34,694.38,,6780,499,,,,,512001013,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512001013,,,,,13779712,W1,,,"25 30 ,50",,WSAV,2758,B00839,"RST , REMOVE BATTERY FOR OVERHAUL",DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,1012.9
2758,D02928,12258063,AIRCRAFT BATTERY,,,588666,WSEM,13760630,42959,WR,S,CGK1T1ZZ,GMFTF,PK-GLF,A320-200,Citilink,801797488,GA01,REMOVE BATTERY FOR OVERHAUL,13438852,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,3198.66,557.15,,2564,393,,,,,512001012,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512001012,,,,,13774557,W1,,,"25 30 ,50",,WSAV,2758,D02928,"RST , REMOVE BATTERY FOR OVERHAUL #2",DIRTY AND LOW LEVEL LIQUID,"DIRTY, SCHEDULED OVERHAUL AND LOW LEVEL LIQUID",RRC,713.3
2758,D06002,12261985,AIRCRAFT BATTERY,,,592799,WSUB,13766283,42962,WR,S,CGK1T1ZZ,GMFTF,PK-GQO,A320-200,Citilink,801796813,GA01,REMOVE BATTERY FOR OVERHAUL,13541606,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,3567.03,387.01,,2753,277,,,,,512001382,GA05,24-38-51 AIRCRAFT BATTERY,512001382,,,,,13774555,W1,,,"25 30 ,50",,WSAV,2758,D06002,SHOP CHECK,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,542.1
2758,201602585,12274999,AIRCRAFT BATTERY,,,583945,WSEM,13768519,42963,TX,S,GAH210ZZ,GMFTL,PK-GLW,A320-200,Citilink,801797774,GA01,REMOVE BATTERY FOR OVERHAUL,13275248,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,2333.35,780.35,,1775,653,,,,,512001361,GA05,24-38-51 AIRCRAFT BATTERY,512001361,,,,,13779711,W1,,,"25 30 ,50",,WSAV,2758,201602585,REMOVE BATTERY FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,756.1
2758,C01863,12163388,AIRCRAFT BATTERY,,,586636,WSEM,13768605,42963,WR,S,W704,GMFTCA,PK-GQQ,A320-200,Citilink,512001343,GA05,24-38-51 AIRCRAFT BATTERY,13369544,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,8313.95,900.39,,5504,744,,,,,512001343,GA05,24-38-51 AIRCRAFT BATTERY,512001343,,,,,13783491,W1,,,"25 30 ,50",,WSAV,2758,C01863,REMOVE BATTERY FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,713.3
2758,A05772,12037743,AIRCRAFT BATTERY,,,584185,WSEM,13771555,42964,TX,S,GAH210ZZ,GMFTL,PK-GQG,A320-200,Citilink,801797162,GA01,REMOVE BATTERY FOR OVERHAUL,13292264,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,03,DC GENERATION,10437.68,1095.78,,8759,855,,,,,512001513,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512001513,,,,,13786221,W1,,,"25 30 ,50",,WSAV,2758,A05772,REMOVE BATT FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID AND SCHEDULE OVERHAUL",RRC,713.3
2758,A05972,12023300,AIRCRAFT BATTERY,,,592288,WSEM,13771557,42964,TX,S,GAH240ZZ,GMFTL,PK-GLQ,A320-200,Citilink,801797779,GA01,REMOVE BATTERY FOR OVERHAUL,13526996,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,03,DC GENERATION,11193.68,494.17,,8705,398,,,,,512001512,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512001512,,,,,13786225,W1,,,"25 30 ,50",,WSAV,2758,A05972,REMOVE BATT FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID AND SCHEDULE OVERHAUL",RRC,713.3
2758,X02742,12097607,AIRCRAFT BATTERY,,,598656,WSAV,13789752,42972,WR,S,CGK1T1ZZ,GMFTF,PK-GLW,A320-200,Citilink,801806764,GA01,REMOVE BATTERY FOR OVERHAUL,13752093,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,03,DC GENERATION,9371.23,73.43,Y,6040,64,Y,,,,512002303,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512002303,,,,,13807355,W1,,,"25 30 ,50",,WSAV,2758,X02742,REMOVE BATTERY FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID, SCHEDULE OVERHAUL",RRC,627.7
2758,C02972,12159062,AIRCRAFT BATTERY,,,588667,WSEM,13791897,42973,WR,S,CGK1T1ZZ,GMFTF,PK-GQR,A320-200,Citilink,801818109,GA01,REMOVE BATTERY FOR OVERHAUL,13438957,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,03,DC GENERATION,8636.83,889.25,,5890,702,,,,,512002302,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512002302,,,,,13807510,W1,,,"25 30 ,50",,WSAV,2758,C02972,REMOVE BATTERY FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID, SCHEDULE OVERHAUL",RRC,798.9
2758,C07244,12218068,AIRCRAFT BATTERY,,,586690,WSEM,13792306,42973,TX,S,GAH210ZZ,GMFTL,PK-GLU,A320-200,Citilink,TLU270711D1,GATL,,,,,,,,,,6345.39,794.45,,4720,608,,,,,512002305,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512002305,,,,,13807331,W1,,,"25 30 ,50",,WSAV,2758,C07244,SEND TO SHOP FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID AND SCHEDULE OVERHAUL",RRC,713.3
2758,C03916,12181187,AIRCRAFT BATTERY,,,586108,WSEM,13792308,42973,TX,S,GAH210ZZ,GMFTL,PK-GLU,A320-200,Citilink,TLU270711D1,GATL,,,,,,,,,,6720.24,794.45,,4869,608,,,,,512002304,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,512002304,,,,,13807501,W1,,,"25 30 ,50",,WSAV,2758,C03916,SEND TO SHOP FOR OVERHAUL,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOVE LEVEL LIQUID, SCHEDULE OVERHAUL",RRC,798.9
